,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
183,INFY,EQ,2018-02-05,1143.25,1140.0,1154.85,1135.85,1139.9,1138.2,1143.33,4930110,5636743205.0,146880,3737354,75.81,2,2018,-0.44172315766455306,Slight or No Change
184,INFY,EQ,2018-02-06,1138.2,1099.95,1128.35,1095.15,1111.4,1107.75,1113.87,5276039,5876800709.0,136315,3479245,65.94,2,2018,-2.6752767527675303,Negative
185,INFY,EQ,2018-02-07,1107.75,1116.0,1124.8,1103.55,1108.0,1109.05,1113.49,4171028,4644378627.0,147324,2763817,66.26,2,2018,0.11735499887157719,Slight or No Change
186,INFY,EQ,2018-02-08,1109.05,1122.8,1146.4,1116.55,1133.0,1134.25,1138.52,4403622,5013613141.0,105295,2891380,65.66,2,2018,2.2722149587484752,Positive
187,INFY,EQ,2018-02-09,1134.25,1118.0,1120.3,1106.0,1112.0,1109.15,1112.64,2191345,2438184786.0,88836,1186875,54.16,2,2018,-2.2129160238042678,Negative
188,INFY,EQ,2018-02-12,1109.15,1114.8,1120.6,1097.8,1101.0,1102.8,1106.85,3145986,3482147220.0,52343,1986846,63.15,2,2018,-0.5725104809989778,Slight Negative
189,INFY,EQ,2018-02-14,1102.8,1106.0,1117.3,1090.2,1091.0,1097.75,1106.89,4172856,4618905280.0,113292,3010045,72.13,2,2018,-0.45792528110264463,Slight or No Change
190,INFY,EQ,2018-02-15,1097.75,1103.0,1129.7,1103.0,1113.5,1114.45,1118.96,3993368,4468413993.0,99941,2439471,61.09,2,2018,1.5212935549988593,Positive
191,INFY,EQ,2018-02-16,1114.45,1125.0,1141.65,1118.1,1124.65,1128.05,1128.32,4944611,5579126434.0,108882,3112620,62.95,2,2018,1.2203328996365892,Positive
192,INFY,EQ,2018-02-19,1128.05,1128.4,1136.0,1120.3,1134.2,1131.75,1129.16,3230920,3648227633.0,83364,1826082,56.52,2,2018,0.3279996454057965,Slight or No Change
193,INFY,EQ,2018-02-20,1131.75,1103.75,1149.5,1103.75,1135.0,1136.95,1141.14,3594297,4101611225.0,97878,1847456,51.4,2,2018,0.4594654296443679,Slight or No Change
194,INFY,EQ,2018-02-21,1136.95,1147.5,1151.9,1140.0,1145.0,1147.4,1146.98,6885679,7897738207.0,169230,5474712,79.51,2,2018,0.9191257311227385,Slight Positive
195,INFY,EQ,2018-02-22,1147.4,1145.55,1164.0,1140.45,1159.0,1160.75,1157.22,8929987,10333995037.0,151810,6801311,76.16,2,2018,1.1635000871535572,Positive
196,INFY,EQ,2018-02-23,1160.75,1163.5,1166.0,1146.75,1154.4,1155.65,1158.08,4729914,5477635155.0,128746,3177897,67.19,2,2018,-0.439371096273955,Slight or No Change
197,INFY,EQ,2018-02-26,1155.65,1151.0,1155.05,1134.35,1139.95,1138.6,1142.81,2541804,2904793410.0,76083,1626562,63.99,2,2018,-1.4753601869078148,Negative
198,INFY,EQ,2018-02-27,1138.6,1144.95,1153.65,1125.65,1147.7,1150.2,1139.08,3308013,3768101539.0,140175,2156356,65.19,2,2018,1.0187950114175504,Positive
199,INFY,EQ,2018-02-28,1150.2,1147.6,1189.5,1142.55,1169.85,1172.6,1172.09,8634208,10120034870.0,229051,5049780,58.49,2,2018,1.9474873934967718,Positive
