,Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend,Volatility,SMA_21,LMA_34,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
44,2017-07-17,INFY,EQ,972.05,975.0,992.0,974.0,985.55,984.05,984.54,3849125,3789602386.0,85783,2209178,57.39,7,2017,1.2345043979219206,Positive,0.03492429732594479,949.6738095238094,955.7073529411764,HODL,955.4071428571427,19.165211443402487,993.7375657439477,917.0767199703378
45,2017-07-18,INFY,EQ,984.05,986.05,1004.8,981.1,983.65,985.6,995.69,4130090,4112296075.0,93509,2299835,55.68,7,2017,0.1575123215283858,Slight or No Change,0.02891314924189611,951.8333333333331,955.3955882352939,HODL,959.7571428571428,18.56119667419152,996.8795362055258,922.6347495087597
46,2017-07-19,INFY,EQ,985.6,981.45,988.65,969.1,979.6,979.85,976.12,2945139,2874801640.0,105595,1545101,52.46,7,2017,-0.5834009740259716,Slight Negative,0.024920370099602265,954.2142857142856,955.4779411764705,HODL,963.3035714285713,17.170530033995682,997.6446314965627,928.9625113605799
47,2017-07-20,INFY,EQ,979.85,979.3,979.85,966.95,969.0,969.45,970.69,3404870,3305085666.0,101526,2486394,73.02,7,2017,-1.0613869469816797,Negative,0.020369209302701096,955.4476190476189,955.420588235294,BUY,965.725,15.237059452834911,996.1991189056698,935.2508810943302
48,2017-07-21,INFY,EQ,969.45,973.0,982.55,971.4,979.9,980.1,978.45,2990377,2925921840.0,68179,1923535,64.32,7,2017,1.0985610397648229,Positive,0.023222954091560468,957.1976190476189,955.7338235294116,HODL,967.7392857142858,15.132468640074958,998.0042229944356,937.4743484341359
49,2017-07-24,INFY,EQ,980.1,983.5,994.0,982.6,990.5,990.55,989.58,3064588,3032646958.0,110820,2177458,71.05,7,2017,1.0662177328844002,Positive,0.024962641530958233,959.5976190476189,956.6691176470586,HODL,969.7678571428571,16.192039914519757,1002.1519369718966,937.3837773138176
50,2017-07-25,INFY,EQ,990.55,990.0,999.0,986.2,994.0,993.85,992.82,3572807,3547155444.0,104586,2636530,73.79,7,2017,0.3331482509716821,Slight or No Change,0.02354136686489421,962.0071428571425,957.0955882352939,HODL,972.8357142857143,16.40955899387975,1005.6548322734737,940.0165962979548
51,2017-07-26,INFY,EQ,993.85,998.1,999.0,990.4,994.0,994.05,993.84,3435012,3413852845.0,104013,2857462,83.19,7,2017,0.020123761130941283,Slight or No Change,0.02104155072538577,965.1976190476188,958.0588235294117,HODL,976.1964285714286,15.504335178931468,1007.2050989292915,945.1877582135656
52,2017-07-27,INFY,EQ,994.05,996.0,1004.0,966.8,969.85,971.05,981.64,6338426,6222055607.0,100543,4878648,76.97,7,2017,-2.3137669131331418,Negative,0.032365930482566994,967.4047619047616,958.4882352941175,HODL,978.7428571428571,10.363969709134603,999.4707965611263,958.0149177245879
53,2017-07-28,INFY,EQ,971.05,976.0,1003.0,962.3,995.7,997.35,987.2,5549214,5478201640.0,92083,3196985,57.61,7,2017,2.7084084238710777,Positive,0.04290818963031074,970.6023809523805,959.9220588235294,HODL,981.6214285714286,9.429877115719645,1000.4811828028679,962.7616743399893
54,2017-07-31,INFY,EQ,997.35,991.9,1021.7,986.75,1015.0,1011.2,1007.77,9579124,9653593591.0,194493,6840218,71.41,7,2017,1.3886800020053158,Positive,0.04102956685327131,974.2047619047615,961.3147058823529,HODL,984.1821428571429,12.088624772946158,1008.3593924030353,960.0048933112506
55,2017-08-01,INFY,EQ,1011.2,1011.0,1017.0,998.35,1004.5,1005.55,1005.38,3844699,3865373993.0,74672,2634496,68.52,8,2017,-0.5587420886076,Slight Negative,0.04208200680120972,976.7595238095233,962.7191176470589,HODL,986.5535714285714,12.823078117892349,1012.1997276643561,960.9074151927867
56,2017-08-02,INFY,EQ,1005.55,1006.0,1012.75,987.2,989.1,993.35,999.06,2128792,2126780545.0,64338,1154252,54.22,8,2017,-1.2132663716374004,Negative,0.04386689384361171,978.2452380952375,963.7411764705884,HODL,987.7178571428573,12.632385229773236,1012.9826276024038,962.4530866833107
57,2017-08-03,INFY,EQ,993.35,991.0,998.75,980.25,981.8,984.0,988.23,2320174,2292869697.0,64881,1484098,63.96,8,2017,-0.9412593748427068,Slight Negative,0.044756429311117854,979.8214285714279,964.6794117647061,HODL,988.5714285714287,11.873187542423818,1012.3178036562763,964.825053486581
58,2017-08-04,INFY,EQ,984.0,988.0,989.0,976.05,983.5,983.75,981.53,2674509,2625108705.0,54851,1951568,72.97,8,2017,-0.025406504065039748,Slight or No Change,0.04474092824689663,981.5714285714279,965.9588235294119,HODL,988.5500000000002,11.882242730548723,1012.3144854610977,964.7855145389027
59,2017-08-07,INFY,EQ,983.75,983.5,983.75,965.7,966.5,968.25,972.33,3036872,2952834608.0,75997,2439913,80.34,8,2017,-1.575603557814487,Negative,0.04100277065472305,983.1357142857136,967.0882352941179,HODL,987.3107142857144,13.059997328474717,1013.4307089426638,961.190719628765
60,2017-08-08,INFY,EQ,968.25,968.5,970.25,955.05,963.5,963.85,963.45,3002324,2892578681.0,83371,2062272,68.69,8,2017,-0.4544280919184018,Slight or No Change,0.025688333466704606,983.459523809523,967.6852941176471,HODL,986.1678571428573,14.394932430210178,1014.9577220032777,957.3779922824369
61,2017-08-09,INFY,EQ,963.85,967.65,973.9,964.55,970.7,969.35,969.56,1961205,1901504150.0,74542,1112721,56.74,8,2017,0.5706282097836857,Slight Positive,0.019224306685033676,983.1738095238087,968.45,HODL,986.1607142857144,14.403888077815267,1014.968490441345,957.3529381300839
62,2017-08-10,INFY,EQ,969.35,969.9,987.5,969.35,984.95,981.25,982.0,4570342,4488072667.0,118468,3294424,72.08,8,2017,1.2276267602001398,Positive,0.026566293905243885,983.5976190476183,969.6588235294118,HODL,986.2428571428572,14.36990521277586,1014.9826675684089,957.5030467173056
63,2017-08-11,INFY,EQ,981.25,976.0,997.0,969.6,986.5,987.7,986.81,3272078,3228922463.0,85957,2064364,63.09,8,2017,0.6573248407643284,Slight Positive,0.02600962465947598,984.1047619047613,970.9661764705882,HODL,986.0392857142859,14.324309334556942,1014.6879043833998,957.3906670451721
